Feature.ID	NA08051STEP	NA108001aSTEP	NA108001bSTEP	NA108003STEP	NA108003STEP20200226	NA108009STEP	NA108010STEP	NA108012STEP	NA108020aSTEP	NA108020bSTEP	NA108036aSTEP	NA108036bSTEP	NA108039STEP	NA108039STEP20200226	NA108041STEP	NA108042STEP	NA108049STEP	NA108052STEP	NA108056aSTEP	NA108056bSTEP	NA108081STEP	NA108087STEP	NA108087STEP20200226	NA108089STEP	NA108096STEP	NA108100STEP	NA108102STEP	NA108106STEP	NA108108STEP	NA108109STEP	Taxon	Confidence
139ad7417ef0dfb630699faea2eb5e06	619	1179	2971	5252	6931	0	155	677	3921	3937	2774	3183	0	0	22	306	1414	2392	3093	901	672	161	254	1932	1989	297	103	3933	3596	229	D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae;D_5__uncultured marine archaeon;D_6__uncultured marine archaeon	0.861450003284918
4ebf60eae6a25de1f7fb819ff212141c	359	847	795	4076	4644	0	43	158	4445	2764	3958	4682	0	0	51	127	792	2523	2277	1177	359	283	360	1073	2100	151	186	1828	2640	88	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B)	0.999999377526873
a900b6678ce86851fb16bfafb87f3326	261	463	368	2275	2545	21	8	96	2471	1844	1392	2611	0	0	14	53	134	1577	1125	644	2396	195	198	584	984	148	47	683	1089	24	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiomicrospirales;D_4__Thioglobaceae;D_5__SUP05 cluster	0.937462137810946
7ff01908e1d8d187672c7dbc4ecdd0ec	512	677	612	1708	3433	0	0	53	1062	1175	2569	3451	0	0	19	69	80	434	468	405	0	205	434	734	1875	137	137	556	1975	35	D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Marine Group II	0.999999999897756
12c4cf4a9b6a4541ef111f02191bae96	0	2731	14042	0	0	0	0	0	496	348	1594	849	0	0	0	0	0	445	349	273	39	0	0	245	411	118	3	0	28	0	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Oceanospirillales;D_4__Halomonadaceae;D_5__Halomonas	0.999111487126289
4ec37aa30ab2bf855e1b18f114113868	219	413	489	1597	2000	0	0	65	2336	1346	2135	2718	0	0	0	0	285	1273	1152	614	726	72	88	566	1048	69	145	930	1413	43	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__SAR324 clade(Marine group B)	0.999999205415848
d4b5d2930116eb54fd79ee2515f0d3b8	186	391	541	2892	3944	0	13	113	1241	1484	2840	2289	7	9	42	97	69	682	725	425	0	78	95	455	1289	142	68	223	1319	35	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Microtrichales;D_4__Microtrichaceae;D_5__Sva0996 marine group	0.993403698035371
562fb40c98ed36ae10a62e50969239d7	397	495	1045	2509	2890	11	0	100	1700	1651	865	1714	0	0	22	67	208	1082	961	583	0	189	143	754	1055	167	183	967	1601	59	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II	0.958343647032168
9023b3075fc598bad518430ee25519bc	1336	5	0	0	0	138	224	727	0	18	0	0	768	758	886	1336	2312	37	57	30	81	0	0	6777	79	34	326	1438	1344	175	D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria;D_3__Campylobacterales;D_4__Thiovulaceae;D_5__Sulfurimonas	0.999998514697995
9e5434da1676a738142aaa0b610f23db	815	150	243	121	132	19	15	0	44	70	485	545	9	7	68	198	304	65	69	31	0	470	549	3547	6226	217	1128	1388	1786	91	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiomicrospirales;D_4__Thioglobaceae;D_5__SUP05 cluster	0.989060655728442
