Site,ID,Cellsperml,T
Plume-001-DTAF,T0-Ctrl-R1,53713.00,T0
Plume-001-DTAF,T0-Ctrl-R2,26342.70,T0
Plume-001-DTAF,T0-Exp-R1,52452.80,T0
Plume-001-DTAF,T0-Exp-R2,82538.40,T0
Plume-001-DTAF,T0-Exp-R3,77025.30,T0
Plume-001-DTAF,T0-Exp-R4,67259.30,T0
Plume-001-DTAF,T24-Ctrl-R1,71354.70,T1
Plume-001-DTAF,T24-Ctrl-R2,71512.30,T1
Plume-001-DTAF,T24-Exp-R1,61903.80,T1
Plume-001-DTAF,T24-Exp-R2,68677.00,T1
Plume-001-DTAF,T36-Ctrl-R1,59698.60,T2
Plume-001-DTAF,T36-Ctrl-R2,72772.40,T2
Plume-001-DTAF,T36-Exp-R3,57335.80,T2
Plume-001-DTAF,T36-Exp-R4,58280.90,T2
Vent-013-DTAF,T0-Ctrl-R1,65211.60,T0
Vent-013-DTAF,T0-Ctrl-R1DUP,24572.50,T0
Vent-013-DTAF,T0-Ctrl-R2,61886.30,T0
Vent-013-DTAF,T0-Exp-R1,68992.00,T0
Vent-013-DTAF,T0-Exp-R2,59698.60,T0
Vent-013-DTAF,T0-Exp-R3,52452.80,T0
Vent-013-DTAF,T24-Ctrl-R1,66944.30,T1
Vent-013-DTAF,T24-Ctrl-R1DUP,28510.40,T1
Vent-013-DTAF,T24-Ctrl-R2,65054.10,T1
Vent-013-DTAF,T24-Exp-R1,44734.50,T1
Vent-013-DTAF,T24-Exp-R2,36543.70,T1
Vent-013-DTAF,T36-Ctrl-R1,43316.90,T2
Vent-013-DTAF,T36-Ctrl-R2,45837.20,T2
Vent-013-DTAF,T36-Exp-R1,30715.60,T2
Vent-013-DTAF,T36-Exp-R2,30558.10,T2
Vent-013-DTAF,T36-Exp-R3,29140.50,T2
Vent-013-DTAF,T36-Exp-R4,28667.90,T2
Vent-043-DTAF,T0-Ctrl-R1,39536.50,T0
Vent-043-DTAF,T0-Ctrl-R2,55985.70,T0
Vent-043-DTAF,T0-Exp-R1,44262.00,T0
Vent-043-DTAF,T0-Exp-R2,44734.50,T0
Vent-043-DTAF,T0-Exp-R3,46467.20,T0
Vent-043-DTAF,T24-Ctrl-R1,41584.20,T1
Vent-043-DTAF,T24-Ctrl-R2,60958.70,T1
Vent-043-DTAF,T24-Exp-R1,38118.90,T1
Vent-043-DTAF,T24-Exp-R2,26777.70,T1
Vent-043-DTAF,T36-Ctrl-R1,50090.10,T2
Vent-043-DTAF,T36-Ctrl-R2,54343.00,T2
Vent-043-DTAF,T36-Exp-R1,36386.20,T2
Vent-043-DTAF,T36-Exp-R2,34181.00,T2
Vent-043-DTAF,T36-Exp-R3,41741.70,T2
Vent-110-DTAF,T0-Ctrl-R1,65369.10,T0
Vent-110-DTAF,T0-Ctrl-R1DUP1,66629.30,T0
Vent-110-DTAF,T0-Ctrl-R1DUP2,49145.00,T0
Vent-110-DTAF,T0-Ctrl-R2,45232.00,T0
Vent-110-DTAF,T0-Exp-R1,35913.60,T0
Vent-110-DTAF,T0-Exp-R2,29455.50,T0
Vent-110-DTAF,T0-Exp-R3,18586.90,T0
Vent-110-DTAF,T18-Ctrl-R1,54185.50,T1
